SiO2;Al2O3;Fe2O3;CaO;MgO;Na2O;K2O;SO3;Fine modulus (m2/kg);Specific gravity;Cement (kg/m3);FA (kg/m3);GGBFS (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg/m3);Na2SiO3 (liquid);NaOH (liquid);Total solution;Na2O (l);SiO2 (l);Superplasticizer;water -eff;Initial curing time (day);Initial curing temp (°C);28-d cubic compressive strength (MPa);Slump (mm)
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;185;185;1081,558448;775,8415522;1857,4;145,3571429;58,14285714;145,3571429;11,5;30;14,8;133,4510714;0;25;50,73;109
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;190;190;1070,455144;776,3448564;1846,8;149,2857143;59,71428571;149,2857143;11,5;30;15,2;137,0578571;0;25;49,86;111
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;195;195;1057,564014;775,435986;1833;153,2142857;61,28571429;153,2142857;11,5;30;15,6;140,6646429;0;25;49;113
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;200;200;1043,045024;772,954976;1816;157,1428571;62,85714286;157,1428571;11,5;30;16;144,2714286;0;25;48,14;114
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;205;205;1026,649881;769,150119;1795,8;161,0714286;64,42857143;161,0714286;11,5;30;16,4;147,8782143;0;25;47,28;116
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;1010,929815;765,670185;1776,6;165;66;165;11,5;30;16,8;151,485;0;25;46,48;118
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;215;215;967,961046;795,038954;1763;168,9285714;67,57142857;168,9285714;11,5;30;17,2;155,0917857;0;25;47,15;124
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;220;220;969,4600256;777,3399744;1746,8;172,8571429;69,14285714;172,8571429;11,5;30;17,6;158,6985714;0;25;47,71;129
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;971,9619525;760,5380475;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;0;25;48,45;135
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,844597;773,9554032;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;0;25;25,71;180
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;259;111;1081,558448;775,8415522;1857,4;158,5714286;63,42857143;158,5714286;11,5;30;14,8;144,7757143;0;25;25,6;182
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;266;114;1070,455144;776,3448564;1846,8;162,8571429;65,14285714;162,8571429;11,5;30;15,2;148,6885714;0;25;25,5;185
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;273;117;1057,564014;775,435986;1833;167,1428571;66,85714286;167,1428571;11,5;30;15,6;152,6014286;0;25;25,4;187
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;280;120;1043,045024;772,954976;1816;171,4285714;68,57142857;171,4285714;11,5;30;16;156,5142857;0;25;25,3;189
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;287;123;1026,649881;769,150119;1795,8;175,7142857;70,28571429;175,7142857;11,5;30;16,4;160,4271429;0;25;25,2;192
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;1010,929815;765,670185;1776,6;180;72;180;11,5;30;16,8;164,34;0;25;25,11;194
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;301;129;967,961046;795,038954;1763;184,2857143;73,71428571;184,2857143;11,5;30;17,2;168,2528571;0;25;23,62;204
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;308;132;969,4600256;777,3399744;1746,8;188,5714286;75,42857143;188,5714286;11,5;30;17,6;172,1657143;0;25;22,4;215
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;971,9619525;760,5380475;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;0;25;20,76;225
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,844597;773,9554032;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;0;25;43,38;154
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;222;148;1081,558448;775,8415522;1857,4;158,5714286;63,42857143;158,5714286;11,5;30;14,8;144,7757143;0;25;46,2;157
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;228;152;1070,455144;776,3448564;1846,8;162,8571429;65,14285714;162,8571429;11,5;30;15,2;148,6885714;0;25;46,27;159
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;234;156;1057,564014;775,435986;1833;167,1428571;66,85714286;167,1428571;11,5;30;15,6;152,6014286;0;25;46,35;162
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;240;160;1043,045024;772,954976;1816;171,4285714;68,57142857;171,4285714;11,5;30;16;156,5142857;0;25;46,42;165
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;246;164;1026,649881;769,150119;1795,8;175,7142857;70,28571429;175,7142857;11,5;30;16,4;160,4271429;0;25;46,5;167
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;1010,929815;765,670185;1776,6;180;72;180;11,5;30;16,8;164,34;0;25;46,57;170
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;258;172;967,961046;795,038954;1763;184,2857143;73,71428571;184,2857143;11,5;30;17,2;168,2528571;0;25;46,27;182
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;264;176;969,4600256;777,3399744;1746,8;188,5714286;75,42857143;188,5714286;11,5;30;17,6;172,1657143;0;25;46,01;193
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;971,9619525;760,5380475;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;0;25;45,68;205
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,844597;773,9554032;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;0;25;46,68;146
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;185;185;1081,558448;775,8415522;1857,4;158,5714286;63,42857143;158,5714286;11,5;30;14,8;144,7757143;0;25;46,84;148
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;190;190;1070,455144;776,3448564;1846,8;162,8571429;65,14285714;162,8571429;11,5;30;15,2;148,6885714;0;25;46,98;149
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;195;195;1057,564014;775,435986;1833;167,1428571;66,85714286;167,1428571;11,5;30;15,6;152,6014286;0;25;47,13;151
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;200;200;1043,045024;772,954976;1816;171,4285714;68,57142857;171,4285714;11,5;30;16;156,5142857;0;25;47,28;152
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;205;205;1026,649881;769,150119;1795,8;175,7142857;70,28571429;175,7142857;11,5;30;16,4;160,4271429;0;25;47,43;154
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;1010,929815;765,670185;1776,6;180;72;180;11,5;30;16,8;164,34;0;25;47,57;155
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;215;215;967,961046;795,038954;1763;184,2857143;73,71428571;184,2857143;11,5;30;17,2;168,2528571;0;25;47,59;165
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;220;220;969,4600256;777,3399744;1746,8;188,5714286;75,42857143;188,5714286;11,5;30;17,6;172,1657143;0;25;47,61;175
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;971,9619525;760,5380475;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;0;25;47,64;185
