SiO2;Al2O3;Fe2O3;CaO;MgO;Na2O;K2O;SO3;Fine modulus (m2/kg);Specific gravity;Cement (kg/m3);FA (kg/m3);GGBFS (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg/m3);Na2SiO3 (liquid);NaOH (liquid);Total solution;Na2O (l);SiO2 (l);Superplasticizer;water -eff;Initial curing time (day);Initial curing temp (°C);28-d cubic compressive strength (MPa);Slump (mm)
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;150;60;150;11,5;30;16,8;138,63;1;60;62,1788;115
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;165;66;165;11,5;30;16,8;151,485;1;60;58,8547;135
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;180;72;180;11,5;30;16,8;164,34;1;60;56,7039;170
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;1;60;56,732;83
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;1;60;61,5359;106
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;1;60;54,2157;118
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;1;60;49,8693;155
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;1;60;61,9637;175
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;1;60;65,3474;184
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;141,4285714;56,57142857;141,4285714;11,5;30;14,4;129,8442857;1;60;53,5045;195
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;1;60;52,4471;225
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;135;54;135;11,5;30;16,8;125,775;1;60;56,7039;148
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;150;60;150;11,5;30;16,8;138,63;1;60;63,5475;162
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;165;66;165;11,5;30;16,8;151,485;1;60;52,0112;171
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;180;72;180;11,5;30;16,8;164,34;1;60;51,0335;205
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;1;60;54,902;96
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;1;60;61,9935;111
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;1;60;54,2157;135
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;1;60;53,7582;185
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,844597;773,9554032;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;0;25;33,83;95
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;259;111;1081,558448;775,8415522;1857,4;118,9285714;47,57142857;118,9285714;11,5;30;14,8;110,8017857;0;25;34,31;100
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;266;114;1070,455144;776,3448564;1846,8;122,1428571;48,85714286;122,1428571;11,5;30;15,2;113,7964286;0;25;34,79;105
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;273;117;1057,564014;775,435986;1833;125,3571429;50,14285714;125,3571429;11,5;30;15,6;116,7910714;0;25;35,27;110
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;280;120;1043,045024;772,954976;1816;128,5714286;51,42857143;128,5714286;11,5;30;16;119,7857143;0;25;35,76;115
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;287;123;1026,649881;769,150119;1795,8;131,7857143;52,71428571;131,7857143;11,5;30;16,4;122,7803571;0;25;36,24;120
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;1010,929815;765,670185;1776,6;135;54;135;11,5;30;16,8;125,775;0;25;36,69;125
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;301;129;967,961046;795,038954;1763;138,2142857;55,28571429;138,2142857;11,5;30;17,2;128,7696429;0;25;35,7;142
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;308;132;969,4600256;777,3399744;1746,8;141,4285714;56,57142857;141,4285714;11,5;30;17,6;131,7642857;0;25;34,89;160
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;971,9619525;760,5380475;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;0;25;33,81;175
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,844597;773,9554032;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;0;25;42,32;84
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;222;148;1081,558448;775,8415522;1857,4;118,9285714;47,57142857;118,9285714;11,5;30;14,8;110,8017857;0;25;42,95;87
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;228;152;1070,455144;776,3448564;1846,8;122,1428571;48,85714286;122,1428571;11,5;30;15,2;113,7964286;0;25;43,58;90
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;234;156;1057,564014;775,435986;1833;125,3571429;50,14285714;125,3571429;11,5;30;15,6;116,7910714;0;25;44,21;93
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;240;160;1043,045024;772,954976;1816;128,5714286;51,42857143;128,5714286;11,5;30;16;119,7857143;0;25;44,85;96
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;246;164;1026,649881;769,150119;1795,8;131,7857143;52,71428571;131,7857143;11,5;30;16,4;122,7803571;0;25;45,48;99
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;1010,929815;765,670185;1776,6;135;54;135;11,5;30;16,8;125,775;0;25;46,08;102
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;258;172;967,961046;795,038954;1763;138,2142857;55,28571429;138,2142857;11,5;30;17,2;128,7696429;0;25;46,01;117
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;264;176;969,4600256;777,3399744;1746,8;141,4285714;56,57142857;141,4285714;11,5;30;17,6;131,7642857;0;25;45,96;133
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;971,9619525;760,5380475;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;0;25;45,88;148
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,844597;773,9554032;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;0;25;55,37;78
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;185;185;1081,558448;775,8415522;1857,4;118,9285714;47,57142857;118,9285714;11,5;30;14,8;110,8017857;0;25;55,62;79
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;190;190;1070,455144;776,3448564;1846,8;122,1428571;48,85714286;122,1428571;11,5;30;15,2;113,7964286;0;25;55,85;80
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;195;195;1057,564014;775,435986;1833;125,3571429;50,14285714;125,3571429;11,5;30;15,6;116,7910714;0;25;56,11;81
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;200;200;1043,045024;772,954976;1816;128,5714286;51,42857143;128,5714286;11,5;30;16;119,7857143;0;25;56,36;81
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;205;205;1026,649881;769,150119;1795,8;131,7857143;52,71428571;131,7857143;11,5;30;16,4;122,7803571;0;25;56,62;82
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;1010,929815;765,670185;1776,6;135;54;135;11,5;30;16,8;125,775;0;25;56,86;83
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;215;215;967,961046;795,038954;1763;138,2142857;55,28571429;138,2142857;11,5;30;17,2;128,7696429;0;25;54,14;87
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;220;220;969,4600256;777,3399744;1746,8;141,4285714;56,57142857;141,4285714;11,5;30;17,6;131,7642857;0;25;51,9;92
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;971,9619525;760,5380475;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;0;25;48,91;96
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,844597;773,9554032;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;0;25;36,19;102
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;259;111;1081,558448;775,8415522;1857,4;132,1428571;52,85714286;132,1428571;11,5;30;14,8;122,1264286;0;25;36,52;108
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;266;114;1070,455144;776,3448564;1846,8;135,7142857;54,28571429;135,7142857;11,5;30;15,2;125,4271429;0;25;36,85;113
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;273;117;1057,564014;775,435986;1833;139,2857143;55,71428571;139,2857143;11,5;30;15,6;128,7278571;0;25;37,18;119
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;280;120;1043,045024;772,954976;1816;142,8571429;57,14285714;142,8571429;11,5;30;16;132,0285714;0;25;37,52;125
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;287;123;1026,649881;769,150119;1795,8;146,4285714;58,57142857;146,4285714;11,5;30;16,4;135,3292857;0;25;37,85;130
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;1010,929815;765,670185;1776,6;150;60;150;11,5;30;16,8;138,63;0;25;38,16;136
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;301;129;967,961046;795,038954;1763;153,5714286;61,42857143;153,5714286;11,5;30;17,2;141,9307143;0;25;38,43;152
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;308;132;969,4600256;777,3399744;1746,8;157,1428571;62,85714286;157,1428571;11,5;30;17,6;145,2314286;0;25;38,66;168
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;971,9619525;760,5380475;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;0;25;38,96;184
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,844597;773,9554032;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;0;25;47,92;100
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;222;148;1081,558448;775,8415522;1857,4;132,1428571;52,85714286;132,1428571;11,5;30;14,8;122,1264286;0;25;48,47;103
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;228;152;1070,455144;776,3448564;1846,8;135,7142857;54,28571429;135,7142857;11,5;30;15,2;125,4271429;0;25;47,91;105
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;234;156;1057,564014;775,435986;1833;139,2857143;55,71428571;139,2857143;11,5;30;15,6;128,7278571;0;25;48,75;108
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;240;160;1043,045024;772,954976;1816;142,8571429;57,14285714;142,8571429;11,5;30;16;132,0285714;0;25;49,59;110
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;246;164;1026,649881;769,150119;1795,8;146,4285714;58,57142857;146,4285714;11,5;30;16,4;135,3292857;0;25;50,43;113
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;1010,929815;765,670185;1776,6;150;60;150;11,5;30;16,8;138,63;0;25;51,22;115
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;258;172;967,961046;795,038954;1763;153,5714286;61,42857143;153,5714286;11,5;30;17,2;141,9307143;0;25;51,04;131
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;264;176;969,4600256;777,3399744;1746,8;157,1428571;62,85714286;157,1428571;11,5;30;17,6;145,2314286;0;25;50,89;146
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;971,9619525;760,5380475;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;0;25;50,69;162
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,844597;773,9554032;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;0;25;59,79;92
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;185;185;1081,558448;775,8415522;1857,4;132,1428571;52,85714286;132,1428571;11,5;30;14,8;122,1264286;0;25;59,88;94
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;190;190;1070,455144;776,3448564;1846,8;135,7142857;54,28571429;135,7142857;11,5;30;15,2;125,4271429;0;25;59,98;97
